invader;code;artist;address;invaders.geo;lat;lon
Space Invader PA_1059;PA_1059; PA; 54 rue de Seine, Paris;54 Rue de Seine, 75006 Paris;48.85424;2.33685
Space Invader PA_1060;PA_1060; PA; villa de Guelma, Paris;villa de Guelma, Paris;48.882851;2.336977
Space Invader PA_1061;PA_1061; PA; 29 rue ramey; 29 rue ramey;48.8886620000; 2.3465700000
Space Invader PA_1062;PA_1062; PA; 64 rue Tiquetonne, Paris;64 Rue Tiquetonne, 75002 Paris;48.86484;2.34551
Space Invader PA_1063;PA_1063; PA; 28 rue des Archives, Paris;28 Rue des Archives, 75004 Paris;48.85825;2.35515
Space Invader PA_1064;PA_1064; PA; 16 rue Froissart, Paris;Rue Froissart, 75003 Paris;48.86163;2.3658199
Space Invader PA_1065;PA_1065; PA; 59 rue au Maire (Simpson), Paris;59 Rue au Maire, 75003 Paris;48.86497;2.35455
Space Invader PA_1066;PA_1066; PA; McDo de la porte de Bagnolet, Paris;Porte de Bagnolet, Paris;48.8645668;2.407278061
Space Invader PA_1067;PA_1067; PA; 1 rue de la Fidélité, Paris;1 Rue de la Fidélité, 75010 Paris;48.8745199;2.35674
Space Invader PA_1068;PA_1068; PA; 39 rue de Bretagne; 39 rue de Bretagne;48.8628720000; 2.3623630000
Space Invader PA_1069;PA_1069; PA; 121 rue des Amandiers, Paris;121 Rue des Amandiers, 75020 Paris;48.86819;2.38806
Space Invader PA_1070;PA_1070; PA; pavillon Saint-Louis; pavillon Saint-Louis;48.8485290000; 2.3985850000
Space Invader PA_1071;PA_1071; PA; 58 rue d'Anjou, Paris;58 Rue d'Anjou, 75008 Paris;48.8739599;2.32269
Space Invader PA_1072;PA_1072; PA; 32 rue Pasquier, Paris;32 Rue Pasquier, 75008 Paris;48.87324;2.32371
Space Invader PA_1073;PA_1073; PA; 41 rue de Penthièvre; 41 rue de Penthièvre;48.8722870000; 2.3135150000
Space Invader PA_1074;PA_1074; PA; 22 rue du Cirque, Paris;Rue du Cirque, 75008 Paris;48.8703999;2.31452
Space Invader PA_1075;PA_1075; PA; 158 boulevard Saint-Germain, Paris;158 Boulevard Saint-Germain, 75006 Paris;48.85323;2.33617
Space Invader PA_1076;PA_1076; PA; Marché Saint-Germain; Marché Saint-Germain;48.8517850000; 2.3366080000
Space Invader PA_1077;PA_1077; PA; 65 rue des Abbesses, Paris;65 Rue des Abbesses, 75018 Paris;48.8857;2.33491
Space Invader PA_1078;PA_1078; PA; 99 rue de Réaumur, Paris;99 Rue Réaumur, 75002 Paris;48.86764;2.3455499
Space Invader PA_1080;PA_1080; PA; Espace Pierre Cardin, Paris;Espace Pierre Cardin, Paris;48.8675499;2.318408966
