code,invaders.geo,lat,lon
PA_0443, entrée sud des Buttes Chaumont,48.8761500000, 2.3810940000
PA_0444,14 Rue Chaudron. 75010 Paris,48.88314,2.36585
PA_0445, 181 rue Lafayette,48.8803031210, 2.3608160018
PA_0446,174 Rue Saint-Maur. 75011 Paris,48.87034,2.37324
PA_0447, à l'intérieur d'Artazart,48.8726500000, 2.3637700000
PA_0448,80 Quai de Jemmapes. 75010 Paris,48.87215,2.36515
PA_0449,73 Rue du Faubourg Saint-Honoré. 75008 Paris,48.87149,2.31485
PA_0450, 5 rue Volta,48.8647700000, 2.3568620000
PA_0451,39 Rue de Charonne. 75011 Paris,48.85335,2.37649
PA_0452,5 Passage Saint-Antoine. 75011 Paris,48.85284,2.3763899
PA_0453,24 Rue des Amandiers. 75020 Paris,48.86432,2.38948
PA_0454,Paris. Paris,48.873136, 2.363675
PA_0455,48 Rue Mazarine. 75006 Paris,48.85512,2.33775
PA_0456,1 Place d'Iéna. 75116 Paris,48.86453,2.2942999
