
lat;long;text
48.8759490000; 2.4412320000; Space Invader PA_0763, A3/Boulevard Edouard Branly
48.8746830000; 2.3568450000; Space Invader PA_1067, 1 rue de la Fidélité
48.8736770000; 2.3224440000; Space Invader PA_1071, 58 rue d'Anjou
48.8733210000; 2.3237010000; Space Invader PA_1072, 32 rue Pasquier
48.8649890000; 2.3545270000; Space Invader PA_1065, 59 rue au Maire (Simpson)
48.8805970000; 2.3314990000; Space Invader PA_0866, 0 rue Paul Escudier
48.8582850000; 2.3895690000; Space Invader PA_0960, 141 boulevard Philippe Auguste
48.8827090000; 2.3369030000; Space Invader PA_1060, villa de Guelma
48.8599050000; 2.3249360000; Space Invader PA_0797, 77 rue de Lille
48.8558540000; 2.3672490000; Space Invader PA_0711, 27 rue des Tournelles
48.8512860000; 2.3319660000; Space Invader PA_0780, 12 rue Madame
48.8875000000; 2.3787220000; Space Invader PA_0987, 39 quai de la Loire
48.8996600000; 2.3880400000; Space Invader PA_0748, Avenue de la Porte de la Villette
48.8798700000; 2.2950000000; Space Invader PA_0917, 2 rue de Fourcroy
48.8788210000; 2.3452140000; Space Invader PA_0770, 6 rue de la Tour d'Auvergne
48.8607470000; 2.3571330000; Space Invader PA_0406, 4 rue de Braque
48.8682210000; 2.3880620000; Space Invader PA_1069, 121 rue des Amandiers
48.8650170000; 2.3585050000; Space Invader PA_1046, 22 rue Réaumur
48.8532100000; 2.3360900000; Space Invader PA_1075, 158 boulevard Saint-Germain
48.8575510000; 2.3993870000; Space Invader PA_0832, 100 rue de la Réunion
48.8474010000; 2.3754630000; Space Invader PA_0013, 47 avenue Daumesnil
48.8482170000; 2.3760690000; Space Invader PA_0223, 20 rue Abel
48.8837510000; 2.3506540000; Space Invader PA_0988, métro Barbès-Rochechouart
48.8567680000; 2.3956040000; Space Invader PA_1027, Cité Aubry
48.8584900000; 2.3892100000; Space Invader PA_1009, 1 boulevard de Ménilmontant
48.8435420000; 2.3255090000; Space Invader PA_0629, impasse Robiquet
48.8865300000; 2.3413600000; Space Invader PA_0856, rue Saint-Eleuthere
48.8712750000; 2.3157330000; Space Invader PA_1074, 22 rue du Cirque
48.8691350000; 2.3774770000; Space Invader PA_0271, 7 rue Vancouleurs
48.8337400000; 2.2439900000; Space Invader PA_0757, place Marcel Sembat
48.8705380000; 2.3777140000; Space Invader PA_0733, 38 rue du Moulin Joly
48.8857080000; 2.3349020000; Space Invader PA_1077, 65 rue des Abbesses
48.8384770000; 2.3001030000; Space Invader PA_0901, 1 rue Léon Delhomme
48.8863700000; 2.3405710000; Space Invader PA_0857, sud-ouest de la place du Tertre
48.8396160000; 2.3562290000; Space Invader PA_0767, 0 rue du Fer à Moulin
48.8855800000; 2.3498400000; Space Invader PA_1233, 2 rue des Poissonniers
48.8645620000; 2.3896310000; Space Invader PA_0453, 24 à 32 rue des Amandiers
48.9034610000; 2.3919090000; Space Invader PA_0910, 72 avenue Jean Jaurès
48.8646580000; 2.4084170000; Space Invader PA_1066, McDo de la porte de Bagnolet
48.8485290000; 2.3985850000; Space Invader PA_1070, pavillon Saint-Louis
48.8524980000; 2.3392470000; Space Invader PA_0803, entrée de la Cour du Commerce Saint-André
48.8760230000; 2.4022230000; Space Invader PA_0567, 117 rue Haxo
48.8594260000; 2.4027890000; Space Invader PA_0119  PA_0824, 102 rue de Bagnolet
48.8273720000; 2.3347410000; Space Invader PA_0316  PA_0940, rue des Artistes
48.8271620000; 2.3366020000; Space Invader PA_0933, 11ter rue d'Alésia
48.8510630000; 2.3319250000; Space Invader PA_0180, 14 rue Madame
48.8758070000; 2.3605990000; Space Invader PA_1085, ancien Couvent des Récollets
48.8765220000; 2.3782050000; Space Invader PA_0671, 54 avenue Bolivar
48.8827850000; 2.3899450000; Space Invader PA_0649, 1 rue Gaston Pinot
48.8301680000; 2.3059310000; Space Invader PA_0405, face au 110 rue Castagnary
48.8657870000; 2.3975940000; Space Invader PA_0008  PA_1083, Impasse Cordon-Boussard
48.8702680000; 2.3564260000; Space Invader PA_1084, 36 rue du Faubourg Saint-Martin
48.8874310000; 2.3472430000; Space Invader PA_1052, rue du Chevalier de la Barre
48.8840360000; 2.3282200000; Space Invader PA_0439, 134 boulevard de Clichy
48.8302370000; 2.3466280000; Space Invader PA_0938, face au 91 boulevard Auguste Blanqui
48.8572170000; 2.3617490000; Space Invader PA_0482, 24 rue Pavée
48.8582130000; 2.3550710000; Space Invader PA_1063, 28 rue des Archives
48.8510370000; 2.3479960000; Space Invader PA_1086, 2 rue des Anglais
48.8618530000; 2.3700500000; Space Invader PA_0861, 30 passage Saint-Sebastien
48.8865590000; 2.3323800000; Space Invader PA_0197, cimetière de Montmartre
48.8181660000; 2.4554900000; Space Invader PA_0269, sur le Chasseur à pied de la Redoute de Gravelle
48.8529520000; 2.4079120000; Space Invader PA_0753, 120 rue d'Avron
48.8527820000; 2.3464840000; Space Invader PA_1087, 1 rue de la Huchette
