lat;long;text;invader;code;artist;address;address2;yena2
48.8531720830; 2.3774376511; Space Invader PA_0703, 47 rue de Charonne; Space Invader PA_0703;PA_0703; PA;, 47 rue de Charonne; 47 rue de Charonne;
48.8488364940; 2.3727156221; Space Invader PA_0014, 59 avenue Ledru-Rollin; Space Invader PA_0014;PA_0014; PA;, 59 avenue Ledru-Rollin; 59 avenue Ledru-Rollin;
48.8717680000; 2.3303010000; Space Invader PA_0552, 3 rue Auber; Space Invader PA_0552;PA_0552; PA;, 3 rue Auber; 3 rue Auber;
48.8413965000; 2.3496176000; Space Invader PA_0766, 97 rue Mouffetard; Space Invader PA_0766;PA_0766; PA;, 97 rue Mouffetard; 97 rue Mouffetard;
48.8851680000; 2.3029390000; Space Invader PA_0661, 41 rue Ampère; Space Invader PA_0661;PA_0661; PA;, 41 rue Ampère; 41 rue Ampère;
48.8429050000; 2.3122450000; Space Invader PA_0346, 16 boulevard Pasteur; Space Invader PA_0346;PA_0346; PA;, 16 boulevard Pasteur; 16 boulevard Pasteur;
48.8524260000; 2.3414620000; Space Invader PA_0764, 28 rue Serpente; Space Invader PA_0764;PA_0764; PA;, 28 rue Serpente; 28 rue Serpente;
48.8607160000; 2.3551810000; Space Invader PA_0769, 65 rue du Temple; Space Invader PA_0769;PA_0769; PA;, 65 rue du Temple; 65 rue du Temple;
48.8325750000; 2.3709890000; Space Invader PA_0543, 1 rue Duchefdelaville; Space Invader PA_0543;PA_0543; PA;, 1 rue Duchefdelaville; 1 rue Duchefdelaville;
48.8364380000; 2.2782560000; Space Invader PA_0593, place Balard sous la Petite Ceinture; Space Invader PA_0593;PA_0593; PA;, place Balard sous la Petite Ceinture; place Balard sous la Petite Ceinture;
48.8504460000; 2.2932540000; Space Invader PA_0950, métro Dupleix; Space Invader PA_0950;PA_0950; PA;, métro Dupleix; métro Dupleix;
48.8644920000; 2.3327380000; Space Invader PA_0893, 6 rue des Pyramides; Space Invader PA_0893;PA_0893; PA;, 6 rue des Pyramides; 6 rue des Pyramides;
48.8795400000; 2.2948660000; Space Invader PA_0916, 14 rue Bayen; Space Invader PA_0916;PA_0916; PA;, 14 rue Bayen; 14 rue Bayen;
48.8699420000; 2.3949240000; Space Invader PA_0739, 120 rue de Ménilmontant; Space Invader PA_0739;PA_0739; PA;, 120 rue de Ménilmontant; 120 rue de Ménilmontant;
48.8772300000; 2.3878290000; Space Invader PA_1010, 1 Rue Carducci; Space Invader PA_1010;PA_1010; PA;, 1 Rue Carducci; 1 Rue Carducci;
48.8762970000; 2.3875470000; Space Invader PA_1015, 29 rue de la Villette; Space Invader PA_1015;PA_1015; PA;, 29 rue de la Villette; 29 rue de la Villette;
48.8596040000; 2.3685280000; Space Invader PA_0818, 68 rue Saint-Sabin; Space Invader PA_0818;PA_0818; PA;, 68 rue Saint-Sabin; 68 rue Saint-Sabin;
48.8958580000; 2.3430330000; Space Invader PA_1020, 86 rue Championnet; Space Invader PA_1020;PA_1020; PA;, 86 rue Championnet; 86 rue Championnet;
48.8571530000; 2.3572750000; Space Invader PA_0114, 26 rue Vieille du Temple; Space Invader PA_0114;PA_0114; PA;, 26 rue Vieille du Temple; 26 rue Vieille du Temple;
48.8571530000; 2.3572750000; Space Invader PA_1023, 26 rue Vieille du Temple; Space Invader PA_1023;PA_1023; PA;, 26 rue Vieille du Temple; 26 rue Vieille du Temple;
48.8660590000; 2.3251900000; Space Invader PA_0843, 246 rue de Rivoli; Space Invader PA_0843;PA_0843; PA;, 246 rue de Rivoli; 246 rue de Rivoli;
48.8544830000; 2.2788080000; Space Invader PA_0258, 29 avenue de Lamballe; Space Invader PA_0258;PA_0258; PA;, 29 avenue de Lamballe; 29 avenue de Lamballe;
48.8688210000; 2.3900910000; Space Invader PA_0471, 83 rue de Ménilmontant; Space Invader PA_0471;PA_0471; PA;, 83 rue de Ménilmontant; 83 rue de Ménilmontant;
48.8790500000; 2.3902060000; Space Invader PA_1016, 34 rue de Crimée; Space Invader PA_1016;PA_1016; PA;, 34 rue de Crimée; 34 rue de Crimée;
48.8602020000; 2.4042230000; Space Invader PA_0817, 1 rue Saint-Blaise; Space Invader PA_0817;PA_0817; PA;, 1 rue Saint-Blaise; 1 rue Saint-Blaise;
